tweet_preprocessed;label
debat pilgub dki jakarta rk ahok gubernur paling brutal gubernur paling banyak gusur datang partai mas pram pak ahok gusur kasus jj riza gubernur paling brutal gusur pak ahok partai mas pram bang doel kata;Negatif
pasang calon gubernur wakil gubernur nomor urut ridwan kamilsuswono tiba jiexpo mayor jakarta pusat minggu oktober ikut debat perdana pilgub dki dukung pasang calon nomor urut pramono anungrano karno nyanyi yelyel;Netral
bukan ira koesno sekarang tina talisa dua sama cowok;Netral
tiga calon gubernur wakil gubernur jakarta sampai wawas adu gagas kali tema bahas ekonomi sejahtera sosial;Netral
pimpin tak melek data bahaya nih kacau;Negatif
baru butuh air bersih jakarta penuh sisa digaspol mas pram bang doel akhir jabat no kaga ribet dah;Negatif
bagi paling serru nih pic;Netral
soto bandoeng rasa pilkada ibukota;Netral
pramono tekan penting aman nyaman ruang publik pasang cctv cahaya baik cipta suasana aman;Positif
pake peci kalo pilih doang kalo udah lepas;Netral
anies pak ahok jakarta utara kalah biak;Negatif
cagub jakarta nomor urut dharma pongrekun siap transportasi integrasi pulau ribu solusi ekonomi;Positif
jawab pramono rano pariwisata ekonomi kreatif debat dua plgub jakarta pramono rano siap bantu promosi umkm saing domestik maupun global;Positif
cawagub jakarta nomor urut kun wardana kata konsep zonasi jalan baik daerah punya jumlah sekolah rata;Positif
urang sunda pilih calon bukti benar kerja tolak calon cuma jo;Positif
dulu pas jg debat pilgub dki pas jawab bagus kliatan cuma jis hampir gada manfaat buat warga;Negatif
sekolah gratis sma baik swasta maupun negri;Positif
makin kesini makin yakin makin jelas tekad bhw pilih warga tgr;Positif
ingat waktu debat tau nya bapak nilai akhir pak prabowo menang om pilgub dki ademadem;Positif
pimpin pramono anung ga dua pimpin sangat butuh masyarakat butuh solusi bukan imajinasi;Negatif
perlu bukti bukan janji warga dki badja memang top;Positif
paslon kanan kiri bisa nyindir aje sama kayak dukung tl sosmed;Negatif
ridwan kamil yakin jakarta jadi contoh generasi emas jakarta butuh rido;Positif
pramono anung paham jakarta sedang alami ubah besar rencana jadi bintang persija ikon wisata upaya cipta ikat kuat masyarakat budaya;Positif
suasana hingga kata cagub cawagub jelang debat tiga pilgub jakarta;Netral
cagub pramono anung kaji ulang atur karena ada ketidakadilan sistem zonasi sekolah;Positif
semua visi komitmen pramono anung sosok pimpin inspirasi semua warga jakarta dukung langkahlangkahnya wujud jakarta lebih baik;Positif
inga coblos no buat;Netral
bukan sekadar slogan buah komitmen utuh bawa ubah positif jakarta warga;Positif
adoh anies nyinyir mulusukur dibales ahok juara hahaha;Negatif
pramono anung bakal dukung kembang wisata religi jakarta jakarta calon gubernur jakarta pramono anung laku ziarah makam habib husein kawasan luar batang jakarta utara kamis;Positif
no urut brapa pilih depok;Netral
cie anak debat p alas calon dateng debat lebih baik sama braya debatcagub;Netral
paslon jari dong;Netral
yasamaaannn esp bilang program sekolah gratis kuno;Negatif
kalo bca komen teringet debatcagub dulu gegara omong bnara skrng pak gub gimane tu;Netral
jadi pertanyaanya vid;Netral
ayo pak ahok pak djarot semangat gue gue;Positif
doa ibu restu ibu kunci utama;Positif
rencana renovasi pasar minggu pramono anung dorong kewirausahaan kalang masyarakat sedia ruang fasilitas pada harap bantu masyarakat mulai usaha sendiri;Positif
laku paslon satu anak abah ahokers mas pram punya beban masa lalu luka pilkada riang gembira mike tyson ayu ting ting mulia suporter arab;Negatif
hadeuh kang;Netral
tv wisma tetap nonton hp mungil multi fungsi;Netral
bukan cuma janji ilmu mas pram bahas visi unj libat akademisi bijak jakarta yuk dukung nomor;Positif
kolam habis lhooo laut kan luas mas;Netral
hasil survei baru smrc pasang pramono anung rano karno unggul atas paslon lain;Positif
lawa hari paslon jadi tengah bu silvy diisengin pak anies;Netral
resident evil biohazard part jangan tonton game baik tonton;Netral
banyak boros kata;Negatif
yakin jawab no doang ngambang banyak janji;Negatif
iyo jok lali pilih no mosok seh kak tentu jawa timur cawagub;Netral
udeh nyerah mas pram paslon no ridwan kamil buka juta lapang pekerjaansedangkan mas pram cuma rb jauh sekali level mas;Negatif
status orangorang buleleng beranda fb semua adi;Netral
pramono anung ajak masyarakat partisipasi aktif proses renovasi pasar minggu libat warga ambil putus tunjuk pimpin baik kolaborasi demokrasi;Positif
jadi penilaijuri vote lalu twitter;Netral
kpu dki minta masuk isu transparansi publik tema debat pilgub;Positif
disabilitas jakarta dukung bapak pramono anung gubernur daerah khusus jakarta;Positif
jangan lupa tanggal november coblos nomor mas bang;Netral
kata dukung parte kampanye akbar hadir satu perte duhe ridwan kamil;Netral
walah kang ridwan kamil nyerang bang doel pakai data salah ;Negatif
survei jakarta research center jrc sebut ahmad riza patria bakal jadi kuda hitam pilgub dki lengkap;Netral
rendah lawan tinggi diri sendiri bkn sikap baik seorg calon pimpin;Negatif
jelang debat kandidat doa mulut comberan ahok;Negatif
tak beking kuat tak embelembel amunisi cukup ide gagas janji lanjut program gubernur belum cukup buat rakyat percaya amanah jaga pramonorano jadi gubernurwagub jakarta;Negatif
doa mas menang putar;Positif
program pak pram n bang rano rupa program kerjan usung bangun masyarakat utama tengah bawah dian sastrowardoyo ppn carok sampang;Positif
cara redam riuh pilkada;Netral
moga debat akhir feb lebih baik sekarang;Positif
bismillah menang satu putar;Positif
nganggurnya nonton debat pilgub dki jakarta sambut debat pilgub dki jakarta jiexpo mayor jakpus byredaksi bksol wib polda metro jaya kerah personel aman debat perdana pilgub dki;Netral
ridwan kamil proposes demokrasi pimpin as a model for governing jakarta;Positif
cagub jakarta nomor urut ridwan kamil tanya cawagub jakarta nomor urut rano karno soal index bangun manusia banten sampai debat cagub cawagub jakarta hari;Netral
debat pilkada semangat ahokdjarot manado;Positif
segmen akhir sama presscon asumsi digunain kalau menang mulu kalah gimana pak anies;Netral
debat cagubcawagub dki kpu dki jakarta abai realitas sosial;Negatif
perang yelyel nih pas awal sampai visi misi chakep;Netral
aduh bang doel masa tega bener bilang banten aneh ngurus banten kewalahan curhat debat kok maju jakarta udah bang nyerah udah paling pas rido pimpin jakarta;Negatif
pilih pastipasti wae fokus bukti bukan janji halhal ukur bukan retorika ilusi;Positif
calon wakil gubernur cawagub jakarta nomor urut kun wardana abyoto kata kondisi warga jakarta terus terhimpit daya beli masyarakat terus turun;Netral
istirahat malam hari tonton final debat calon gubernur dki jakarta googoogo;Netral
bagi paling serru nih;Positif
udah nyerah bang doel wkwkwk;Netral
mantap jakarta makin nyala;Positif
naah kan gimana jadi orang nomor jakarta wong makan khas jakarta kaga paham;Netral
cawagub jakarta nomor urut rano karno bicara soal masalah kerja anak muda jakarta bang doel populasi gen sangat besar perlu buat guidanceguidance penjuru potensi kembang saksi;Positif
calon gubernur daerah khusus jakarta pramono anung hadir deklarasi dukung dpd konfederasi serikat kerja seluruh indonesia kspsi mas prambang doel gedung joang menteng kota jakarta sabtu;Positif
siap nonton debat ayo warga jakarta pilih hati akal budi;Netral
pak eko tanya masalah transportasi pasang no jawab tanggungjawab pusat;Netral
rangking;Netral
mas pram mampu satu kuat besar jakarta ahok basuki tjahaya purnama sama ahokers anies baswedan sama anak abah jadi daya ledak elektoral duet mas pram bang doel pilkada jakarta;Positif
betul pdhl pas demo besar pertama meski undang anies datang pernah statement apa anies soal hny debat pilgub dki kala he stay silent and distance h;Negatif
calon gubernur jakarta nourut target pipanisasi selesai jakarta persen tahun lebih sistem sedia air minum spam jadi andal jatiluhur krayan;Positif
sesi tampil gemilang tetap;Positif
rantau mang bukti diri komunitas solid beri dukung penuh pramono anung kuat jadi inspirasi komunitas jakarta;Positif
pak basuki salah omong;Negatif
leh uga nih acara;Netral
kyaaa kyaaaa bang sandiiiii;Positif
debat pilgub dki kereta gantung vs roh layang;Netral
pramono anung tekad pasti akses olahraga sedia semua lapis masyarakat kurang hambat semua orang nikmat manfaat olahraga;Positif
ini sentimen persepsi publik ganjar pranowo bibit waluyo had prabowo;Netral
maju ahokdjarot;Positif
anies reformasi birokrasi jalan cepat suasana kerja positif n target jelas;Positif
ibu silvy jawab ibu tarik tapiii nyambung bu said pak anies makjleebb bangeet;Positif
pramono anung milik misi daya ekonomi lokal bantu laku usaha masuk asal warga mang strategi cerdas tumbuh ekonomi;Positif
paling tunggu debat cagub dki memenya;Positif
gugub selesai jelas waktu habis;Netral
pak anies segera beri kaca nih;Netral
dukung pramono anung rantau mang usaha bangun ekosistem usaha sehat lanjut jakarta pasti laku usaha lokal dapat perhati layak;Positif
dekat sahabat penuh humor pramono anung tunjuk pimpin selalu serius suasana cipta buat masyarakat rasa lebih dekat;Positif
enak jadi warga jakarta kalau mas pram bang doel jadi gubernur wakil gubernur makanya tanggal november jangan salah pilih coblos no;Positif
pramono anung milik mampu gugah semangat warga jakarta komitmen bangun kota jadi sumber inspirasi masyarakat;Positif
closing statement cukup buka mata efek tinggal dijakarta;Netral
tang pilgub mention masuk pasang ganjar heru menang telak pertama;Netral
anis tanya mpok silvikebanyakan cerita sampe lupa nanya hahahahahahahahahhahaha;Negatif
ridwan kamil paham adil ramah lingkung;Positif
pramono anung tekad buat jakarta jadi kota lebih baik angkat potensi lokal fokus olahraga budaya usaha cipta kota penuh sama bangga;Positif
debat dua pilih gubernur dki jakarta gelar malam minggu oktober ketua komisi pilih umum kpu dki jakarta wahyu dinata sampai debat malam spesial tepat momentum sumpah pemuda;Netral
pilih duaduanya rupa pilih buruk mk beri pilih tingkat mudharatnya lebih kecilkebijakan dua pilih tsb sama pro ada stadion makassar;Netral
gratis manfaat buat masyarakat bagus kan alas gratis masyarakat gak mampu bayar jadi lebih baik pastiin dulu masyarakat mampu bayar tau sendiri gimana pelayanankualitas gratis;Netral
gu keluarga abah;Netral
sub tema debat tiga pakat;Netral
anak labuh nih boss siap pilih nomer mas pram bang doel pilih jakarta nyala;Positif
calon wakil gubernur nomor urut rano karno kata ada spbu apung wilayah pulau ribu sampai debat calon gubernur wakil gubernur jakarta hari;Netral
jakarta keras butuh pimpin keras kira kira rk berani ngk beres jakarta anies ngk laku gusur pdhl waktu kampanye debat pilgub dki laku gusur fakta tetap gusur;Negatif
janji pramono anung tingkat insentif kader jumantik bukti nyata peduli sehat masyarakat langkah strategis tingkat sejahtera warga jakarta;Positif
mas pram bang doel serius mikirin butuh warga jakarta biar tenang bahagia jepang malming mike tyson anies anak abah;Positif
rano karno biaya pangan murah pendek rantai pasok ungkap debat dua pilgub jakarta;Positif
debatcagub smlm gk ntn ampe abis anak ngerenvek minta boboyutub ah ntar;Netral
alam pramono anung bidang perintah buat jadi calon gubernur sangat layak milik wawas luas pimpin jakarta arah lebih baik;Positif
nonton debat perdana ga tadi jaa siapa lebih unggul jangan bilang manchester united mah ga kalah seri;Netral
smrc elektabilitas pramonorano rido dharmakun tren tingkat elektabilitas pramonorano naik signifikan prediksi menang putar;Positif
calon gubernur pramono anung hadir acara silaturahmi gera menang pramono anung rano karno gerak sekretariat dpp gerak menteng jakarta pusat kuat koordinasi sama tim dukung untk mendiskusikn strategi kampanye;Positif
pilgub dki seru banget pas debat ahok anies sekarang anjing banget emang jokowi;Negatif
agus soal rth revitalisasi lama terus buka lahan baru tak banyak pilih potensi;Netral
reklamasi dilanjutkn trlnjur rusak mnjd baik n btmanfaat henti reklamasi y;Positif
debat panas hati kepala tetap dingin preeettt;Positif
muncul polling siapa layak jadi ikut;Netral
anies tanya sylvi geser dikit ahok agus bisaaa;Negatif
ngaca gusssss kader partai bapak wes banyak sek bui mergo koropsi;Negatif
warga jakarta cerdas pilih calon pimpin lihat rekam jejak pantes rk tak lirik sering tolak;Positif
keroyok ahok lancar serang balik;Negatif
survei lsi pramonorano top one rido bawah dharmakun bawah;Positif
sebenernya waktu pilgub dki bagus banyak debat kpu format debat cair gak kaku interupsi paslonnya dateng semua sih hehe;Positif
dukung rantau mang pramono anung arti sebar baik jakarta komitmen libat giat sosial manusia;Positif
rdo menang jakarta kota festival;Positif
pramono anung bakal kaji ulang sistem zonasi sekolahsekolah jakarta sampai pramono respons keluh warga srengseng sawah jakarta selatan aku sulit cari sekolah anak akibat sistem zonasi;Positif
pramonorano unggul debat dua pilgub dki jakarta versi warganet;Positif
pramdol mnang senin banteng wendy goty semi private prilly carok psht dian sastrowardoyo ppn sub indo;Negatif
banyak warga jakarta pramono anung harap baru masa depan kota visi misi siap bawa ubah signifikan;Positif
hahaaaaa pantesan rk jorjoran bansos nyata dana loh nih bukti projo tum kan eks menkominfo dah paham maennya jkt tnp tk;Netral
banyak warga jakarta sangat sulit dapat air bersih;Negatif
benar tetap no ganjar pranowo bibit waluyo had prabowo;Negatif
sumarno terlalu mahal pilkada dki terciderai;Negatif
pasang calon gubernur wakil gubernur jakarta ridwan kamilsuswono dharma pongerekunkun wardana lihat tiba debat perdana pilgub jakarta malam jiexpo mayor jakarta pusat;Positif
eh debat pilgub dki tl doank memang ramai debat pilgub dki memang rasa pilgub dki sekarang kurang ramai rasa dah;Negatif
kata pea ahok dukung jakarta baru jakarta sama anies sandi hehe strike;Netral
pramono anung komitmen wakil suara rakyat khusus warga mang ambil putus jakarta langkah penting tuju perintah akuntabel;Netral
mantan gubernur dki jakarta anies baswedan jamu pasang calon gubernur wakil gubernur pramono anung rano karno diam lebak bulus jakarta selatan;Netral
maju pilgub dki duet ama bung rock gerung jamin ga bakal kalah debat;Positif
alhamdulillah puji tuhan dukung pramonorano terus alir deras optimistic satu putar;Positif
lihat tampil ridwan kamil suswono debat tiga pilkada dki kualitas dua memang perlu ragu jadi patut kalau rdo juara pilgub dki jakarta;Positif
rantau mang peran penting jaga imbang sosial jakarta dukung pramono anung wujud nyata peduli masalah sosial;Positif
pramono anung janji beri perhati khusus sejahtera masyarakat masuk laku usaha komunitas mang langkah nyata tingkat kualitas hidup masyarakat jakarta;Positif
sangat tuju mas agus orang manis mulut mmg sgt cenderung tegas jujur;Positif
okeh saat tongkrongin tv liat mana baik buat;Netral
makin yakin pilih no pilih ahok djarot anti korupsi;Positif
cagub jakarta nomor urut dharma pongrekun sebut nilainilai suku baduy jadi inspirasi bangun adab jakarta;Positif
hasto nilai dukung jokowi ridwan kamil dampak negatif justru baik cagub usung pdip pramono anung n;Netral
debat perdana pilgub jakarta paslon nilai konkret tawar gagas kota global;Positif
senyum djarot sungguh sejuk hati;Positif
tertawa lepas ;Netral
kredit mesrabank emok ga sih bang emil gatau gang gang dalam jakarta bnyk emak emak stres karna bank emok;Negatif
siapa cagub baik tiga pasang baik antasari;Netral
cari nama ikut ibu susanti mas noval bu yos pak jono siapa inih kenalin dong;Netral
siapa mvp debat pilgub dki tadi;Netral
semua transportasi umum gratis gratis operator jadi punya alesan ga remaja armada;Positif
jurnalis senior john adja nilai debat dialogis asa pernyataanpernyataan lontar nyambung program janji politik spekulatif nonton debat cagub jakarta batas retorika;Negatif
suara demak cinta ayo sukses pilkada;Positif
solusi macet jakarta dharma pongrekun perlu tanam budaya antri anakanak lengkap;Positif
debat semua nyerang ahokahok we love yu;Positif
kala king buzzer titah rekam jejak punya ilmu punyakurang kurang adl warga jakarta bodh riil lihat dengar acak adut ngeri jejak kang kamil coblos no jkt tnp rk;Negatif
sini sama sekali maksud serang paslon beri masuk utama tim menang;Netral
jalan tanah abang lupa borong jersey persija apa lah siap lap kerja buat warga jakarta;Netral
lanang and dewasa tenan koe pak ahok sentuh hati ane;Positif
kenal pak sujono;Netral
ngobrol putar bola sama senin november wib kala coffee ampera jaksel;Netral
anis kalah sombong angkuh tonton waktu debat maupun kampanye buka pilpres pak prabowo beres pilpres nyata hormat gerindra dukung nya pilgub dki sayang gerindra pilih rk suswono;Negatif
dokter kelililng program pasang rdo lansia prioritas sehat ibu ayah;Positif
mas pram bang doel siap layan warga jakarta pramdol mnang senin banteng wendy goty semi private prilly carok psht dian sastrowardoyo ppn sub indo;Positif
warga kota ternatemalut tampak semangat ikut debatcagubcawagub malut siar metrotv;Positif
bukan apaapa sih cuma kes timpang konten tanya hampir semua komplain thats not cool;Negatif
mas agus bukan srimulat lho wkwkwkwk;Netral
anies jadi tanya silvi emank goblok nanya paslon serang no jadi lupa tanya wkwkwkk;Negatif
chanel kok tv ga;Negatif
rantau mang dukung pramono anung politik peran gerak ekonomi lokal komitmen cipta peluang usaha masyarakat jakarta;Positif
temu jadi momen bagi pandang dapat doa dukung kait visi pimpin jakarta depan pramdol mnang mas pram bang doel;Positif
pramono anung usaha tingkat partisipasi anak muda bangun kota libat generasi muda dapat perspektif baru segar;Positif
jakarta darurat narkoba;Positif
pertama kali nonton debat final pilkada rasa intense good luck semua cagub;Positif
fakta bukan omon omon belaka kalau pramonorano genggam rakyat ridwan kamilsuswono genggam kim plus mulyono so jangan salah pilih jadi pilpres kemarin buah ajar harga jangan ulang;Negatif
