tweet_preprocessed;label
debat tiga jadi ajang ahok  anies gerus suara agus;
kerjaasuno rt aniesbaswedan kalau urus ganteng bang sandiuno not bad lah;
hmadfauzanaulia rt aniesbaswedan kalau urus ganteng bang sandiuno not bad lah;
program ahokdjarot paling bagus   paslon ;
gregetan  debat djarot  cubitcubit ahok;
tanya anies soal anak putus sekolah ahok jawab;
pdip sebut debat ahokdjarot tampil program  bumi via;
bahas reklamasi debat ahok vs anies langsung sengit;
hasto yakin publik makin tahu kualitas ahokdjarot;
pak anies please jangan bohong rakyat soal reklamasi;
ahok nuwun sewu pak anies;
sikap ira koesno bikin dukung paslon dadak ciut;
ahok minta maaf  huni rusun jatinegara;
anis baswedan saking  banget jadi gubernur dki  lucu banget  debat final cagub dki;
sumarno terlalu mahal  pilkada dki terciderai;
tanya anis  ahok jadi bumerang sendiri lucu banget;
anis baswedan lucu banget  debat cagub dki mengadaada banget hahaha;
 lahir tunjuk  bathin meski tetap usaha senyum ramah  rona hati pantul  mata  wajah;
baik   dengar  pic;
ahok jamin transparansi anggar apbd dki;
sandiaga terima kasih pak djarot;
salah satu paslon  bek ngabe bungut  omong kosong;
untung ;
 tampak panggung debat akhir cagub dki;
jangan lupa besok ala hahaaa only at stay tune;
saling serang bikin debat akhir paling keras;
ala penasaran tunggu tanggal main  ;
allah maha tahu apa yg sirat  surat ingat hidup  dunia cuma sebentar;
mas agus tolak jawab tanya  kalah;
hoax  deh si ahog;
papa novanto sebut ahokdjarot jawara  debat akhir;
bikin rumah  dp djarot bagaimana cara tuh pak anies;
siapa yg pertama singkir  ajang cagub dki ;
 closing statement tadi mungkin besok   demo besar ;
rasa serang ahok kok suka bangun opini sesat;
ahok tuding sylvi umbar fitnah  tak punya program;
siapa pilih paslon kuat  kamu;
bravo salam  jari;
ria satuju bikin gaduh dukung ahysylvi tegur panitia debat;
senyum djarot sungguh sejuk hati;
 jogja turut saksi;
pak sy gak mau yg baru yg lama  bagus  awet  kl pake yg baru  lecet;
jakarta butuh pimpin yg tegas eksekusi koruptor bukan banyak gagas;
ngaca gusssss kader partai bapak wes banyak sek bui mergo koropsi;
rumah apung muncul ;
data sesat;
 paslon  udah ky anak sekolah lg diskusi pr bukan bahas pr nya malah ngobrol gak jelas;
waah paslon serang terus nih d;
pak ahok djarot memang hebat sylvi pingin dprd korupsi mgkn haha klo enggak ga mgkn perilaku ahok anggap jahat verbal;
keroyok ahok lancar serang balik;
selau sportif apa jawab nya;
maju terus ahokdjarot;
bu silvy jadi ibu rumah tangga aja ahy  silvy selalu pojok ahok djarot;
kalo moderator najwa ntar bukan  debat cagub  moderator bu hahaha;
sebut  bu cecep nama sama ibu awi ;
audio broadcast coba perhati  sering telat unmute  leaked conversation;
waktu paslon ngomong semua langsung tanggap  kumur;
hallo bpk ibu  fasilitas audio dlm tak sama audio utk cagub jelek sekali;
ga ngarti pak anis ngomong apa kurang jelas jelas;
rakyat  cerdas  pilih  kerja nyata;
tiba ngomongin rusun;
wah kok  sesi  ttg rumah suara anis hilang paslon rugi nih dlm  ;
seru nih seru hahaha;
pesan khusus sby  debat agussylvi;
jawab djarot spesifikbedakan perempuan  kaum perempuankalau tdk jujur perlu tegas;
 penting anti korupsi  verbal musuh ibu korupsi musuh negara cuy;
nonton debat pak ketangkep kamera seru njih;
opini sesat hmmm benar  sich;
paslon makin kacau;
jangan guna fitnah dong buat menang cagub ga halal fitnah lebih kejam  bunuh;
liat lah   debat  mana yg bobot bicara;
moderator yg  suka;
tiap kali dgr jwban no serasa  awan ga konkret trksn isi wkt menit spt isi soal ulang yg pnting isi;
angka keras perempuan tinggi   banyak yg lapor;
apabila lihat  alami pungli lapor langsung  website saberpungliid sms  telepon call center;
pak anies  maju sayang data salah tp better than paslon;
rptra jadi jurus ahok tingkat bahagia warga dki;
pak anies jangan obral janji  diawangawang;
 paling tunggu  debat cagub dki memenya;
duhh salah  buu suka bu sylvi aja ngmg apa emak kan emg suka gitu;
  paling tarik  saksi  debat ibu terjemah bahasa isyarat pojok layar yg penuh semangat;
debat gokil;
 debat buka  makin lihat mana yg benar bagus  kualitas badja;
 yg pertama smpi tiga malam  tetap paslon yg paling realitis jawab;
belabelain buru pulang mao nonton idola  debat pak ahok;
pak anis cocok jadi dosen  ajar pak ahok maju trusss;
paslon cagub cawagub favourite pic;
ayo pak ahok  pak djarot semangat gue  gue   ;
anies  bukan salah pak gubernur;
jawab ahok bener bener masuk akal  logis  udah bukti deh;
 debat semua nyerang ahokahok we love yu;
serang balik ahok bilang ibu sylvi  mana ;
paslon  jawab gimana awal uang mrw;
bangun opini kok sesat;
nonton debat final pilkada kelas;
mantap pak;
lihat bu silvy yg lama didki nyata ngga tau apa  bahkan data aja salah;
ahokdjarot luar biasa jelas;
banyak data yg sesat;
no no no paham kan gitu aja kok repot;
orang pinter  pilih pimpin  baik  jujursemangat pak ahokdjarot;
sindir agus ahok gubernur dki  pangkat letjen;
moga jakarta pebih maju  pilkada jalan  damai bagaimana simbol damai;
agus   sedia rem;
jadi    pasti spy  lapar  bodoh   jelek muter aja main kata gimana cara pak of;
semangat  paslon bukti malam   kalian kualitas  layak pilih;
ngetes aja masuk apa ga hai yg lg nonton;
cara paslon no   bilang  sekarang lapar bodoh jelek trus  bilang of;
paslon apa kok yg  bangga program m per rw;
jakarta darurat narkoba;
yg mandu lagu indonesia raya cakep mudah jkt makin cakep jng salah pilih;
anies sikap tegas  distributor narkoba  lembut kpd korban;
sampai visi misi agus sindir ahok  gubernur  rapor buruk;
nonton pal debat dki jakarta  makan pisang goreng dingin biar kepala tetap dingin;
tetap semangat nonton walaupun  kakak ira koesno ;
anies   siap rw siaga yg jaga lingkung masuk didik ttg narkoba;
alfito kasus narkoba  jakarta punya edar kuat  kendali  balik penjara;
anies mau bikin imunisasi utk narkoba kek;
harap debat kali  lebih seru  buat  pilih jadi makin mantap utk pilih ditgl ;
nonton debat final yuk jadi   putus  pilih pimpin  kualitas bukan   ngomong ajah;
asik aku masuk tv;
 jakarta  indonesia  lebih baikahok djarot;
sampai visi misi ga perlu nyerang calon  kaliii masss;
dukung ahokdjarot leseh  depan rumah lembang;
istirahat malam hari  tonton final debat calon gubernur dki jakarta googoogo;
suksesssss;
besok kantor kpu dki kayak bakal ramai  tukang balon  tukang timbang  profesi anggap tukang rekayasa;
jakarta umur  ratus tahun ayo pilih   buat jakarta tahan ratus tahun depan;
well said  pilkada bukan jakarta ;
siap nonton debat ayo warga jakarta pilih  hati  akal budi;
djarot minta doa  beri hidayah;
debat cagub;
saksi debat cagub hendropriyono bilang;
pilih pimpin yg erti masalah  jakarta  cuma bapak solusi;
debat dukung csgub  twitter lebih seru  debat cagubnya heuheu;
siapa pilih;
sumpah kalo bukan  ahok gue haram mau nonton debat dki bela bain ninggalin kerja padahal gue  lombok;
ahokdjarot  siap khusus hadap debat akhir;
waduh kirain  jakarta;
cagub dki  debat soal duduk;
jumat feb;
channel tv apa yg tayang siar ulang debat cagub;
semangat slm jari dr sulawesi pilkada rasa pilpres;
tema  moderator debat tiga pilkada dki ;
siapa suku indonesia dukung ahok ahok uji salam jari;
knp  semua kasus slalu lihat dalang kasi jd korban nafsu politik si pepo;
sidang  semangat pak benar  muncul sperti terang;
mana solusi dulu mau ngapung sekarang geser;
prabowo puas rasa  salah pilih sandi ga pernah nyoblos koq dah puas pak wo wkwkwkwk;
knp pilkada dki heboh fenomenal rasa pilpres as apa krn  pak pah ahok memang keren;
sampai  dulu kpd tiga paslon   tanya utk masing paslon    dunia maya;
debat cagub kali dunia usaha  akomodasi;
prabowo puas rasa  salah pilih;
indomonopoly game online satusatu nya indonesia  mengunakan uang asli;
sylvi beri jempol  bawah  sindir basuki;
hihi jd ga sabar lihat ikut udah h  nih pak;
cuma ngasih tau  lho contekanya ketuker daftar belanja;
 debat ikut berani kpud pasang umum orang tua paslon larang ikut masuk ruang debat kan bukan paud;
jawab ibu susanti  buat netizen penasaran;
   keluar;
ngakak nonton aksi ahahaha;
 ttp  bijak pilih   teriak   umpat;
pilih nomor;
indah saing tp kurang satu kirakira siapa  ambil photo;
moga paslon  paslon bs dapat suara banyak by paslon;
rudal sdh siap siap bombardir tinggal luncur;
  hamba   tuan;
pepo sedang sibuk atur strategi ikut;
maaf  bukan gak update ttg gak minat sih ujung gw gak bakal milih lah wong bukan warga dki lg;
sikap koh ahok  salah atur enggak sih;
moga debat kandidat cagubcawagubdki dg mba najwa shihab;
apa sih maksud mpok sylvi acung jempol  bawah;
situs percaya id game promo bonus to  referral klik;
rt aniesbaswedan  usai terima kasih temanteman yg  bantu lewat doa  dukung jari alhamdullilah has;
ce bla bla bla bla co jadi tanya apa ce emang  semua cowo  sama aja gak peka;
tusuk anies  ahok soal ipm;
cuma bilang;
camil nugget tahu sehat jkt;
program dp rumah nol persen anies ragu hihihi pake duit sandi kalo cukup  kalo mau;
pak anies memang nafsu banget;
baik inci logis kreatif pandai santun;
tampak   gerah nih abis nyimak;
jadi marketing rumah aja pak anies bonus pipa pipa   oc  oc oskadon pancen oc;
mohon sabar  uji;
mabok  oc  begini nih;
sibuk bicara sylvi lupa beri tanya  anies via;
status orangorang buleleng  beranda fb  semua  adi;
nungguin calon pimpin yg milik fokus  baik moral;
sekjen pdip ahokdjarot tak mempan serang;
jujur jelas ahokdjarot paling masuk akal;
ahok sebut bela anies enggak benar;
cagub dki pilih ;
rendah lawan utk tinggi diri sendiri bkn sikap yg baik  seorg calon pimpin;
baru buka no sma no udah mulai main nyindir  no nya mlah nyengir mulu  hdapi  santai good job;
nomor  suka;
langkah mdh menetukan masa dpn jkt datang  tps bukan tpu buka kertas suara masuk ;
walaupun udh ga ktp jakarta  boleh   komentar debatcagubdki;
pasang  justru sepakat serang pasang gak peduli program yg mau tawar;
sangka ikut debatmalu hahahaaa;
paslon anies sandi datang bawa alam  adil  semua;
 lihat debat pilgub makin yakin buat milih paslon  mana february ;
 vote akhir like  coment  bawah  jari  dong;
ahok atas macet bukan  sekadar bangun jalan;
kilas tak kiro oppa  aq ga ngerti riko ngomong opo pas acara;
 nih orang yg perlu ajar  almarhum gus dur;
agus ngalorngidul ngelak anies bnyakan teori  janji ahok jarot  bukti;
promo beli melia propolis ml  gratis biyang spray ajib teu;
resident evil biohazard part jangan tonton game  baik tonton;
waaahh semua status ttg waaarrrbiasaaaa;
komen akhir buat debat malam  graha buana;
tuding suka nyebar fitnah  ahok  balas agus cawagubdki sylvi;
bagaimana cara atas problem marak jomblo jomblo;
anissandi super perlu alternative pimpin yg siap  siap data darisitu lihat visi  tuju yg matang;
yg yakin jawab no doang yg ngambang yg banyak janji;
pindah channel ahh dangdut yuuuuukkkkk lebih lucu lihat kel gunarso;
pak anies solutif pak ahok suka nyari ribut mas agus retorika;
debat  panas  hati  kepala  tetap dingin preeettt;
nonton eeeh pak bolak balik in frame huhuhu akyu salah fokus;
debatcagub  cawagub jakarta warga jakarta pilih nomor neh pilih yg kerja nyata anti korupsi transparan;
debat  amerika bahas masa depan debat  indonesia saling nyinyir smh;
malam  lawan kantuk dukung  benar kira tak;
mau nongton  mana inihh ;
warga negara republik indonesiaberbeda  satu;
polisi  rencana tambah personel debat tiga cawagubdki;
ubah posisi duduk paslon ubah segala catat pinggir;
andika bangga toleransi embay   izin jemaah gereja parkir  masjid;
intip arena debat akhir cagubcawagub banten;
biar ga tinggal seru hari jumat besok bolters  streaming  fmx lho yuk download ;
selamat pilih warga djakarte;
tak  siap anies siap takluk debat tiga pakai cara  sandiaga cawagubdki;
serang pribadi andika  debat bawaslu banten nyata embay langgar pkpu;
polda banten terjun personel aman debat cagub;
kpu  usir dukung cagub  bawa atribut  arena debat;
repost irvanfirnaldi tarik tisik;
jadi pertanyaanya apa vid;
mau jadi tauladan mau jadi pemimpinkalah argument kux nunjukin jempol bawah cln pimpin kaya gt perempuan lg;
  vs nabok  kuat d;
seruuuu vs lanjut;
 sesi serusaling serang  data  retorika jangan baper  simpatisan  timses d;
 gw pake hati  apa yg pak ahok bicara bikin gw tepuk tangan;
baik pegawai negeri anies jangan cuma beri bonus  cawagubdki;
salah  pojok nama ;
ahok kalau pimpin  wujud bptsp wujud adil sosial djarot cawagubdki;
buka debat anies ucap gong xi fa chai  ahok sandiaga cawagubdki;
agus sebut birokrasi akar masalah jakarta  kompleks cawagubdki sylvianamurni;
om  gak lu aja  jadi bawa acara debatcagub kek seru;
widiihh paslon no nyindir mulu bisa;
foundationnya bu silvy sekarang tonenya  lebih turun beberapa  gak kabuki look ;
bicara soal sampah yg pertama laku adlh musnah sampah masyarakat;
main  adu data  lebih asik  tarik;
saling klaim menang sesi debat leh timses  timeline sudah wong twitter kie cerdas;
live now debat pilkada sama batugin;
cara redam riuh pilkada;
hadir debat pilgub dki  sosok  dukung antasari azhar cawagubdki;
si abang mulai nyikutmantap;
tegang  bangtarik nafas dulu;
  dukung ahok  setia bela ahok djarot utk terus maju  bangsa  negara;
kok debat pilkada cagub yg dua kualitas gambar ga bagus yg pertama;
good governance tahun an yaa kan d;
nah jawab tu kaya om djarot tanya a  jawab a jangan menclok menclok;
mohon tenangmohon tenangtimeline jangan terlalu berisik d;
mohon tenangmohon tenangkt  lanjut  paslon ikut  kt sdh sepakat tk tertib panjang acara;
paslon memaparkn visi misi  smw it gampng sprti mmbalikn tlapak tangnjnji dlm byangn;
gatel telinga denger agus nyebut accountable  capable ajar pronounciation dulu kali  om gus;
wakaka mas agus english english  nih;
baru opening  masuk serang d;
akun kena banned horeee ndas ngelu ndelok dagel sek ah;
ahmad dan nonton bareng  rumah lembang wow wow wkwkwk  apa wadaw;
session kali  yg turun gunung tina talissa;
 kembali ira koesno ;
salam;
siapa cagub paling memeable malam  hehe;
tayang penuh debat agussylvi ahokdjarot  aniessandi cagub saling serang via;
jadi seru nontonnya;
harap  rendah hati pak;
semalem nontonnya jadi seru;
pak anies  segera beri kaca nih;
jadi motivasi ikut debat cagub dki smalam karna;
debat cagub dki siapa yg paling pas  hati;
mpok silvi bisa nyindir pak aniessendirinya malah lbh parah  kelas sama ibu nyinyir;
debatcagub smlm gk bs ntn ampe abis anak ngerenvek minta boboyutub ah ntar;
kolam habis lhooo laut kan luas mas;
yaaaa  bisa  moshing bkn u gubernur benar;
besok  tonton debat sewa sama eli sugigi lebih   arahakan hahahaha;
tegas lugas adil  tetap tenang  hadap masalah hidup moderator;
denger omong paslon kaya nonton pesbuker kelas bareng sama si vicky prasetio ;
rayu peduli nurani kelit dalih pamer cerdas tegas kritis;
baik;
pilih jakarta;
nonton;
uppsspak anies;
langsung damai  aman;
forum bangka jakarta tanya selundup timah  bahas ;
dlm urut acak si tutur kata indah si jual mimpi indah  si kata apa ada my own opinion just saying;
kata buat indonesia  liat twitter  fb pasca debatcagub sedih;
yg tarung anak kok yg serang bpknya;
kok gak  yg buka dana csr yaaak cc;
pls rt gimana debat pilkada dki malam  cc;
now back to workkerja kerja kerja tdk hasil dollar;
banyak data sdh ditunjukkin yah nama   pro  kontra yg  ingsun sbg rakyat lihat yg lihat bukan wacana;
siapa   jadi pimpin  perlu pasti konsistensi   penting rakyat;
ekspresi ngedenger jawab paslon;
salam  jari gilaks debat  banyak jawab  ga sesuai ama tanya cuman no aja yg masuk akal;
pak anies emosi yaa jd nya ga nyambung jg jelas hahaa jgn terlalu jaim nnti lupa program n kerja;
 bingung lah mosok tingkat debat gubernur argumen gak  kira presentasi  kelas bu;
pilih yg pastipasti wae fokus  bukti bukan janji  halhal  ukur bukan  retorika  ilusi;
coba tebak besok bakal  meme ira koesno mohon bersabaar  uji  ;
waduh    yg ga berani jawab tanya akhir  hehehe;
warga msh nelen janji ky gtu ga sih  ampun dengernya aj blenek;
jawab bu silvi tarik  ga nyambung pak anies;
banyak banget live report hari  yaallah lr lr lr ku jadi bingung;
menang  elegan rakyat jadi cerdas;
jawab cawagub inti ngeles tanya tangan mobil mahal malah coba lari  public transportation;
kyaaa kyaaaa bang sandiiiii;
hahahahaha mulai deh nyindir kota apung;
hahahahahahaha si ahok bisa euy nyentil paslon;
nah kalo poin evaluasi nya betul sih mpok;
umpan kail kolam;
banyak boros kata;
tegak hukum tegak tegak adil  tegas tak pandang bulu;
lebih  manusiawi benar yg salah  menang pilkada;
kalo kate warge ato akamsi sih kompor baru diangetin minyak baru masuk;
 paling ready sih tau data segala macem jawab tohok banget banyak benernya;
kok anies mulu sih mau denger bang sandi lahhh yaelah bang wkwkwk;
ihh mas agus badan atlet maap maap maap salfok;
tahana emg paling gampang serang;
perang ngeles;
mas agus nafsu anet program;
 tanya apa  jawab apa suka ga nyambung deh at;
bahaya  serang mental  manaa;
ptanyaan n sanggah yg ngga nyambung  s;
bahas  ikan kail  kolam tambah makan ikan uang yg bagi;
si joko leh uga eh agus maksud;
ken sih ga komen tpi ga tahaankenapa mas agus gaya bubble trouble;
akhirnyaaa  jg yg ngetwit gak bahas debatcagub terimakasih tuhaan;
 sangka ngomongin integritas tutup telinga aja ahdebatcagub;
visi misi ahy basi udh lagu lma;
antara candidat gw pilih ira koesno gretchen;
mpok silvi ente sariawan;
 visi misi   jelas kok siapa  lebih tepat pimpin jakarta;
no urut brapa pilih  depok;
baru satu sesi aja udah liat mana yg cuma janji mana yg kerja nyata  mana yg sedang imajinasi;
agus bagus lihat kalau latih;
livetweet debat cagub yuk;
siap meme;
lama nih tele tele buru lah mulai;
profil cagubcawagub dki nomor urut;
okeh saat tongkrongin tv liat mana yg baik buat qt;
 pepes kosong  ketupat lebaran kuda  bakpau isi daging yg lezat;
siapa  hadir;
debat cagub  cawagub dki;
jumlah dukung tiga pasang cagub dki mulai datang;
semangat  pak ahok  acara debat iniakan trlihat pak ahoklah cagub yg paling cerdas debatcagub;
kpu jamin integritas  netralitas panelis debat kandidat pilkada dki pilkadadki;
ahok mohon doa restu ibu jelang debat cagub dki januari lewat;
jelang debat kandidat doa mulut comberan ahok;
 coba gugling sumber   temu hasil survei  metrotv  cantum acara tadi malam;
 kira kang  ikut simak banten tadi malam  bagi awal debat bahas beberapa isu hangat;
padahalmah narasi buka rano karno ga usah panjang;
kok visi misi wh andika kayak pernah baca  visi misi sman ;
live twit debat cagubcawagub provinsi banten;
debat perdana cagub banten bahas daya perempuan;
malam  debat perdana cagubcawagub banten;
gabisa saksi nih;
ahy ah hilang   pathdaily;
 gak kalo tiap paslon damping  orang tua  ;
hrsnya  justru tunjuk kalau   rangkul  lapis duduk jkt duduk jakarta agam agama;
tepuk tangan buat pasang nomer urut;
yah mungkin cagub agus sadar diri   ajar debat  terima perintah;
rahma hayuningdyah kece pic;
jakarta kece malam  pukul wib   net with riris vid;
debat cagubcawagub ketua kpu dki format  rumus;
anter anak skolah jd penasaran debatcagub apa yg mau  omongin;
kalo bca komen  teringet debatcagub dulu gegara omong bnara skrng pak gub gimane tu;
malu  berbobotmatikan tv  tidur;
masyarakat saksi kenegarawananmu pakpandai santun  sikap negarawan;
lalu kada rami mun bawa masalah pribadi;
serang terlalu mudah baca;
sayang kalau sebut nomor urut   keliru;
sugianto  ujang menggebugebu  cukup detail  jawab tanya  willy terlalu normatif;
debat publik cagub  pilkada;
kalian dah lupa dgn janji gub jokowi  ahok dulu  kampung pulo coba cek  youtube;
sebut satu  prestasi  hasil bunuh ketua ma  operasi muka;
  hasil  debat sebut  realisasi  lampung  cinta;
moga  debat dlm depat cagub sekrang bukan  debat kusir ;
jdikan skate park aj rt pak bekas tambang jadi lahan tani az jangan buka lahan baru hutan kasi;
nmr kayak incumbent ;
pak bekas tambang jadi lahan tani az jangan buka lahan baru hutan kasi;
its more interesting to watch  switch channel   engga tarik;
ayo lihat sekarang biar  tanggung jawab  hak pilih mu  pilgub jatim ;
hewan ni kan hewan liar  nak kurung wkwkkw;
kalau  butuh orang pimpin cuma bual ibuibu pkk   jadi pimpin;
 cinta  pilkada soal nya  pilih d;
ndelok wong  du nang ndukur panggung;
debatcagub nde mna bos;
niy blazer mbak jadul niy debatcagubsalahfokus;
 chanel apa kok  tv ga ;
yg  nonton jatim mana suaranyaaa;
tanya bagus bagaimana tingkat potensi pariwisata  jatim;
hmm kalau kalian tuju gak pimpin pusat  daerah  punya sama visi ikan dapat  kolom komentar ;
udah nonton debat dua cagub jakarta malam moms;
calon pasang nomor urut pramono anung tanya kena program disneyland ridwan kamil  sempat batal  cikarang jawa barat;
usung gerindra jadi cawagub dki saefullah  tak politik cawagub;
ahmad dhani  anies baswedan cawagubdki;
kerthamaha sindir ott aman janji art centre;
masalah reklamasi jadi debat panas;
hari  final debat cagubcawagub;
sub tema  debat tiga pakat;
deadlock bahas debat cagubcawagub materi iklan kampanye serah  kpu;
tim rumus debat kandidat dua pasang calon   komitmen;
pastika  adi wiryatama tetap undang;
debat cagub jadi ricuh paslon nomor urut keluar kaos;
suasana debat kandidat dua pilih gubernur sumut;
audio kok  brebet lg nonton ini;
debat publik cagubcawagub telan anggar rp miliar;
pasang cagub cawagub kaltim no urut jawab awang normatif kaku  gak  program   jawab tanya;
selalu  lebih banyak yg  akses debat dsripada yg nonton  terlalu cepat tiba ada   bagi  pilih  telat tiba fase ;
nonton debat   gadget kamu mulai pukul wib live  ch inews  pandu   link download android link download ios;
 tmn jadi penilaijuri  vote lalu twitter;
 cawabup kudus wajib kembali dana kunker cawagub;
kpu jateng siap kandidat pilgub;
debat pilkada dki  ahok gagal paham soal program rumah anies cawagubdki;
ibarat  satu  jkt mao  bogor lewat depok  satu lewat bekas muter muter dulu cari simpatisan;
kata pea ahok dukung jakarta baru  jakarta sama anies sandi hehe strike;
 dengar debat final pilkada dki cagubcawagub mana    pilih;
langsung  lokasi nobar debat cagub;
ahhh emang udah jelas pak ahok  baik  banding anies;
sedih    udah semangat buat nonton debat live  flash player nya nyata blm d instal;
 saat  twitwaaarrrr dimulaaiii rame ni ;
sandi batal hadir debat  stasiun tv swasta  alas cawagubdki;
debat cagub mata najwa anies  ahok debat soal kerja apbd koran nkri;
  beda  debat cagub  pilgub dki putar dua;
kpu dki siap format baru  debat cagub lanjut;
 tunggu episode edisi debat lanjut;
siar ulang;
 acara mata najwa anies bawesdan  ahok kasih respon  kejut;
 pernah jadi menteri didik yah;
lihat yg satu jelas program yg  kritik melulu;
ketauhan paham ahok  soeharto lebih dalam;
ketua kpud dki sumarno kata debat cagub dki putar dua;
ketua kpud dki sumarno kata debat cagub dki putar dua ;
 tuju klo hari rabu februari libur nasional mana suara;
 luput  debat pilkada  bahasa tubuh masingmasing pasang cawagubdki djarot;
yuhuuuuuuuuuu;
orang  terlalu ikut campur pilkada dki pdhl ktp luar  semacem ngamuk gara cowok  drama korea mutusin cewek;
debat pilgub dki saling kritik  kata amat politik cawagubdki;
pak  kalau  debatcagub babak  enggak rangin main serang paslon  fokus bahas solusi  program sendiri;
first time w liat ahok  debatcagub kok w ngakak y pdhl  udh demo org islam tp msh brani wkwk tp jwbn nya pling bagus antara yg ;
pake peci kalo pilih doang kalo udah  lepas;
hai hayoo  nonton   tidur mau ingetin nih kalau;
bu sylvi  kalo ajak makan  mana  serah kalo chat ga mau duluan kalo pasang marah galak  wanita;
ngakak sendiri ngeliat status ttg;
irakoesno lbh oke jd moderator;
demen bgt ngeliat debat sih haha gw  gue bukan neng liat debat  macem nya tp lihat siapa yg bener kualitas;
agus adl representasi kaum tengah atas indonesia yg bicara mesti indoenglish biar apa biar knowledge yg tahu;
 warga dki sejahtera anies milik rumah milik air cawagubdki sandiaga;
ga nonton debatcagub malam   ga tahu kl benar bicara  hmm inspirasi  zionis israel yg obrakabrik alaqsha nih kyknya;
mending nonton min ho deh stickmoticons;
 benci  hina  caci malah   inspirasi;
debat  ii sama relasi;
